season,date,dow,month,start,home,away,stadium,home_teams,is_dome,is_secondary,crowd,capacity,occupancy,sold_out,home_rank,home_wpct,home_gb,home_streak,home_last10,away_rank,away_wpct,away_gb,away_streak,away_last10,gb_from_playoff_line,season_progress,temp,rain,rain_game,humid,wind,cloud
2021,2021-04-03,토,04,14:00,키움,삼성,고척,키움,1,0,1665,1674,0.9946,1,,,,0,,,,,0,,,0.0,,,,,,
2021,2021-04-04,일,04,14:00,키움,삼성,고척,키움,1,0,1655,1674,0.9886,1,1,1.0,0.0,1,1,2,0.0,1.0,-1,0,-0.5,0.001,,,,,,
2021,2021-04-04,일,04,14:00,SSG,롯데,문학,SSG,0,0,2300,2300,1.0,1,3,,0.5,0,,4,,0.5,0,,,0.001,,,,,,
2021,2021-04-04,일,04,14:00,KT,한화,수원,KT,0,0,1956,2000,0.978,0,5,,0.5,0,,6,,0.5,0,,,0.001,,,,,,
2021,2021-04-04,일,04,14:00,두산,KIA,잠실,LG;두산,0,0,2410,2472,0.9749,0,7,,0.5,0,,8,,0.5,0,,,0.001,,,,,,
2021,2021-04-04,일,04,14:00,NC,LG,창원,NC,0,0,4376,5061,0.8647,0,9,,0.5,0,,10,,0.5,0,,,0.001,,,,,,
2021,2021-04-06,화,04,18:30,키움,KIA,고척,키움,1,0,1614,1674,0.9642,0,1,1.0,0.0,2,2,9,0.0,1.5,-1,0,-0.5,0.008,,,,,,
2021,2021-04-06,화,04,18:30,SSG,한화,문학,SSG,0,0,2268,2300,0.9861,1,2,1.0,0.5,1,1,8,0.0,1.5,-1,0,0.0,0.008,,,,,,
2021,2021-04-06,화,04,18:30,KT,LG,수원,KT,0,0,1956,2000,0.978,0,3,1.0,0.5,1,1,5,1.0,0.5,1,1,0.0,0.008,,,,,,
2021,2021-04-06,화,04,18:30,두산,삼성,잠실,LG;두산,0,0,2245,2472,0.9082,0,4,1.0,0.5,1,1,6,0.0,2.0,-2,0,0.0,0.008,,,,,,
2021,2021-04-06,화,04,18:30,NC,롯데,창원,NC,0,0,2327,5061,0.4598,0,10,0.0,1.5,-1,0,7,0.0,1.5,-1,0,1.0,0.008,,,,,,
2021,2021-04-07,수,04,18:30,키움,KIA,고척,키움,1,0,1628,1674,0.9725,0,4,0.667,0.5,-1,2,7,0.5,1.0,1,1,-0.5,0.015,,,,,,
2021,2021-04-07,수,04,18:30,SSG,한화,문학,SSG,0,0,2264,2300,0.9843,1,1,1.0,0.0,2,2,9,0.0,2.0,-2,0,-1.0,0.015,,,,,,
2021,2021-04-07,수,04,18:30,KT,LG,수원,KT,0,0,1706,2000,0.853,0,6,0.5,1.0,-1,1,3,1.0,0.0,2,2,0.0,0.015,,,,,,
2021,2021-04-07,수,04,18:30,두산,삼성,잠실,LG;두산,0,0,2142,2472,0.8665,0,2,1.0,0.0,2,2,8,0.0,2.5,-3,0,-1.0,0.015,,,,,,
2021,2021-04-07,수,04,18:30,NC,롯데,창원,NC,0,0,2225,5061,0.4396,0,10,0.0,2.0,-2,0,5,0.5,1.0,1,1,1.0,0.015,,,,,,
2021,2021-04-08,목,04,18:30,키움,KIA,고척,키움,1,0,1660,1674,0.9916,1,6,0.5,1.5,-2,2,4,0.667,1.0,2,2,0.5,0.022,,,,,,
2021,2021-04-08,목,04,18:30,SSG,한화,문학,SSG,0,0,2278,2300,0.9904,1,2,0.667,1.0,-1,2,8,0.333,2.0,1,1,0.0,0.022,,,,,,
2021,2021-04-08,목,04,18:30,KT,LG,수원,KT,0,0,1605,2000,0.8025,0,3,0.667,1.0,1,2,5,0.667,1.0,-1,2,0.0,0.022,,,,,,
2021,2021-04-08,목,04,18:30,두산,삼성,잠실,LG;두산,0,0,2273,2472,0.9195,0,1,1.0,0.0,3,3,10,0.0,3.5,-4,0,-1.0,0.022,,,,,,
2021,2021-04-08,목,04,18:30,NC,롯데,창원,NC,0,0,2261,5061,0.4467,0,9,0.333,2.0,1,1,7,0.333,2.0,-1,1,1.0,0.022,,,,,,
2021,2021-04-09,금,04,18:30,KIA,NC,광주,KIA,0,0,3869,1168,3.3125,1,3,0.75,0.0,3,3,9,0.25,2.0,-1,1,-1.0,0.029,,,,,,
2021,2021-04-09,금,04,18:30,삼성,KT,대구,삼성,0,0,2724,7033,0.3873,0,10,0.2,2.5,1,1,6,0.5,1.0,-1,2,1.5,0.029,,,,,,
2021,2021-04-09,금,04,18:30,롯데,키움,사직,롯데,0,0,2364,2364,1.0,1,5,0.5,1.0,1,2,7,0.4,1.5,-3,2,0.0,0.029,,,,,,
2021,2021-04-09,금,04,18:30,LG,SSG,잠실,LG;두산,0,0,2414,2472,0.9765,0,4,0.75,0.0,1,3,1,0.75,0.0,1,3,-1.0,0.029,,,,,,
2021,2021-04-09,금,04,18:30,한화,두산,한밭,한화,0,0,1300,3900,0.3333,0,8,0.25,2.0,-1,1,2,0.75,0.0,-1,3,1.0,0.029,,,,,,
2021,2021-04-10,토,04,17:00,KIA,NC,광주,KIA,0,0,4114,1168,3.5223,1,4,0.6,1.0,-1,3,9,0.4,2.0,1,2,-0.5,0.036,,,,,,
2021,2021-04-10,토,04,14:00,삼성,KT,대구,삼성,0,0,3813,7033,0.5422,0,10,0.333,2.5,2,2,7,0.4,2.0,-2,2,1.0,0.036,,,,,,
2021,2021-04-10,토,04,17:00,롯데,키움,사직,롯데,0,0,2364,2364,1.0,1,6,0.4,2.0,-1,2,5,0.5,1.5,1,3,0.5,0.036,,,,,,
2021,2021-04-10,토,04,14:00,LG,SSG,잠실,LG;두산,0,0,2431,2472,0.9834,1,1,0.8,0.0,2,4,2,0.6,1.0,-1,3,-1.5,0.036,,,,,,
2021,2021-04-10,토,04,17:00,한화,두산,한밭,한화,0,0,1300,3900,0.3333,0,8,0.4,2.0,1,2,3,0.6,1.0,-2,3,0.5,0.036,,,,,,
2021,2021-04-11,일,04,14:00,KIA,NC,광주,KIA,0,0,4264,1168,3.6507,1,5,0.5,1.0,-2,3,6,0.5,1.0,2,3,0.0,0.043,,,,,,
2021,2021-04-11,일,04,14:00,삼성,KT,대구,삼성,0,0,4658,7033,0.6623,0,8,0.429,1.5,3,3,9,0.333,2.0,-3,2,0.5,0.043,,,,,,
2021,2021-04-11,일,04,14:00,롯데,키움,사직,롯데,0,0,2364,2364,1.0,1,4,0.5,1.0,1,3,7,0.429,1.5,-1,3,0.0,0.043,,,,,,
2021,2021-04-11,일,04,14:00,LG,SSG,잠실,LG;두산,0,0,2454,2472,0.9927,1,3,0.667,0.0,-1,4,1,0.667,0.0,1,4,-1.0,0.043,,,,,,
2021,2021-04-11,일,04,14:00,한화,두산,한밭,한화,0,0,1300,3900,0.3333,0,10,0.333,2.0,-1,2,2,0.667,0.0,1,4,1.0,0.043,,,,,,
2021,2021-04-13,화,04,18:30,키움,LG,고척,키움,1,0,1479,1674,0.8835,0,5,0.5,1.5,1,4,1,0.714,0.0,1,5,0.0,0.05,,,,,,
2021,2021-04-13,화,04,18:30,KIA,롯데,광주,KIA,0,0,808,1168,0.6918,0,9,0.429,2.0,-3,3,7,0.429,2.0,-1,3,0.5,0.05,,,,,,
2021,2021-04-13,화,04,18:30,삼성,한화,대구,삼성,0,0,1363,7033,0.1938,0,6,0.5,1.5,4,4,8,0.429,2.0,1,3,0.0,0.05,,,,,,
2021,2021-04-13,화,04,18:30,SSG,NC,문학,SSG,0,0,1632,2300,0.7096,0,2,0.571,1.0,-1,4,4,0.571,1.0,3,4,-0.5,0.05,,,,,,
2021,2021-04-13,화,04,18:30,두산,KT,잠실,LG;두산,0,0,1128,2472,0.4563,0,3,0.571,1.0,-1,4,10,0.286,3.0,-4,2,-0.5,0.05,,,,,,
2021,2021-04-14,수,04,18:30,키움,LG,고척,키움,1,0,1311,1674,0.7832,0,3,0.556,0.5,2,5,2,0.625,0.0,-1,5,-0.5,0.057,,,,,,
2021,2021-04-14,수,04,18:30,KIA,롯데,광주,KIA,0,0,884,1168,0.7568,0,10,0.375,2.0,-4,3,6,0.5,1.0,1,4,1.0,0.057,,,,,,
2021,2021-04-14,수,04,18:30,삼성,한화,대구,삼성,0,0,1564,7033,0.2224,0,4,0.556,0.5,5,5,9,0.375,2.0,-1,3,-0.5,0.057,,,,,,
2021,2021-04-14,수,04,18:30,SSG,NC,문학,SSG,0,0,1571,2300,0.683,0,5,0.5,1.0,-2,4,1,0.625,0.0,4,5,0.0,0.057,,,,,,
2021,2021-04-14,수,04,18:30,두산,KT,잠실,LG;두산,0,0,1038,2472,0.4199,0,7,0.5,1.0,-2,4,8,0.375,2.0,1,3,0.0,0.057,,,,,,
2021,2021-04-15,목,04,18:30,키움,LG,고척,키움,1,0,1354,1674,0.8088,0,4,0.5,1.5,-1,5,2,0.667,0.0,1,6,0.0,0.064,,,,,,
2021,2021-04-15,목,04,18:30,KIA,롯데,광주,KIA,0,0,1503,1168,1.2868,1,9,0.444,2.0,1,4,7,0.444,2.0,-1,4,0.5,0.064,,,,,,
2021,2021-04-15,목,04,18:30,삼성,한화,대구,삼성,0,0,1728,7033,0.2457,0,5,0.5,1.5,-1,5,8,0.444,2.0,1,4,0.0,0.064,,,,,,
2021,2021-04-15,목,04,18:30,SSG,NC,문학,SSG,0,0,1539,2300,0.6691,0,6,0.444,2.0,-3,4,1,0.667,0.0,5,6,0.5,0.064,,,,,,
2021,2021-04-15,목,04,18:30,두산,KT,잠실,LG;두산,0,0,1124,2472,0.4547,0,3,0.556,1.0,1,5,10,0.333,3.0,-1,3,-0.5,0.064,,,,,,
2021,2021-04-16,금,04,18:30,SSG,KIA,문학,SSG,0,0,2300,2300,1.0,1,4,0.5,2.0,1,5,6,0.5,2.0,2,5,0.0,0.071,,,,,,
2021,2021-04-16,금,04,18:30,롯데,삼성,사직,롯데,0,0,1927,2364,0.8151,0,8,0.4,3.0,-2,4,3,0.545,1.5,1,6,1.0,0.071,,,,,,
2021,2021-04-16,금,04,18:30,KT,키움,수원,KT,0,0,929,2000,0.4645,0,9,0.4,3.0,1,4,7,0.455,2.5,-2,4,1.0,0.071,,,,,,
2021,2021-04-16,금,04,18:30,LG,두산,잠실,LG;두산,0,0,2442,2472,0.9879,1,1,0.7,0.0,2,7,5,0.5,2.0,-1,5,-2.0,0.071,,,,,,
2021,2021-04-16,금,04,19:00,NC,한화,창원,NC,0,0,5061,5061,1.0,1,2,0.6,1.0,-1,6,10,0.4,3.0,-1,4,-1.0,0.071,,,,,,
2021,2021-04-17,토,04,14:00,SSG,KIA,문학,SSG,0,0,2300,2300,1.0,1,5,0.455,3.0,-1,4,3,0.545,2.0,3,6,0.0,0.078,,,,,,
2021,2021-04-17,토,04,17:00,롯데,삼성,사직,롯데,0,0,2364,2364,1.0,1,6,0.455,3.0,1,5,4,0.5,2.5,-1,6,0.0,0.078,,,,,,
2021,2021-04-17,토,04,17:00,KT,키움,수원,KT,0,0,1658,2000,0.829,0,7,0.455,3.0,2,4,9,0.417,3.5,-3,3,0.0,0.078,,,,,,
2021,2021-04-17,토,04,17:00,LG,두산,잠실,LG;두산,0,0,2472,2472,1.0,1,1,0.727,0.0,3,7,8,0.455,3.0,-2,4,-3.0,0.078,,,,,,
2021,2021-04-17,토,04,17:00,NC,한화,창원,NC,0,0,3495,5061,0.6906,0,2,0.636,1.0,1,7,10,0.364,4.0,-2,4,-2.0,0.078,,,,,,
