season,date,dow,home,away,stadium,crowd
2021,2021-04-03,토,키움,삼성,고척,1665
2021,2021-04-04,일,키움,삼성,고척,1655
2021,2021-04-04,일,SSG,롯데,문학,2300
2021,2021-04-04,일,KT,한화,수원,1956
2021,2021-04-04,일,두산,KIA,잠실,2410
2021,2021-04-04,일,NC,LG,창원,4376
2021,2021-04-06,화,키움,KIA,고척,1614
2021,2021-04-06,화,SSG,한화,문학,2268
2021,2021-04-06,화,KT,LG,수원,1956
2021,2021-04-06,화,두산,삼성,잠실,2245
2021,2021-04-06,화,NC,롯데,창원,2327
2021,2021-04-07,수,키움,KIA,고척,1628
2021,2021-04-07,수,SSG,한화,문학,2264
2021,2021-04-07,수,KT,LG,수원,1706
2021,2021-04-07,수,두산,삼성,잠실,2142
2021,2021-04-07,수,NC,롯데,창원,2225
2021,2021-04-08,목,키움,KIA,고척,1660
2021,2021-04-08,목,SSG,한화,문학,2278
2021,2021-04-08,목,KT,LG,수원,1605
2021,2021-04-08,목,두산,삼성,잠실,2273
2021,2021-04-08,목,NC,롯데,창원,2261
2021,2021-04-09,금,KIA,NC,광주,3869
2021,2021-04-09,금,삼성,KT,대구,2724
2021,2021-04-09,금,롯데,키움,사직,2364
2021,2021-04-09,금,LG,SSG,잠실,2414
2021,2021-04-09,금,한화,두산,한밭,1300
2021,2021-04-10,토,KIA,NC,광주,4114
2021,2021-04-10,토,삼성,KT,대구,3813
2021,2021-04-10,토,롯데,키움,사직,2364
2021,2021-04-10,토,LG,SSG,잠실,2431
2021,2021-04-10,토,한화,두산,한밭,1300
2021,2021-04-11,일,KIA,NC,광주,4264
2021,2021-04-11,일,삼성,KT,대구,4658
2021,2021-04-11,일,롯데,키움,사직,2364
2021,2021-04-11,일,LG,SSG,잠실,2454
2021,2021-04-11,일,한화,두산,한밭,1300
2021,2021-04-13,화,키움,LG,고척,1479
2021,2021-04-13,화,KIA,롯데,광주,808
2021,2021-04-13,화,삼성,한화,대구,1363
2021,2021-04-13,화,SSG,NC,문학,1632
2021,2021-04-13,화,두산,KT,잠실,1128
2021,2021-04-14,수,키움,LG,고척,1311
2021,2021-04-14,수,KIA,롯데,광주,884
2021,2021-04-14,수,삼성,한화,대구,1564
2021,2021-04-14,수,SSG,NC,문학,1571
2021,2021-04-14,수,두산,KT,잠실,1038
2021,2021-04-15,목,키움,LG,고척,1354
2021,2021-04-15,목,KIA,롯데,광주,1503
2021,2021-04-15,목,삼성,한화,대구,1728
2021,2021-04-15,목,SSG,NC,문학,1539
2021,2021-04-15,목,두산,KT,잠실,1124
2021,2021-04-16,금,SSG,KIA,문학,2300
2021,2021-04-16,금,롯데,삼성,사직,1927
2021,2021-04-16,금,KT,키움,수원,929
2021,2021-04-16,금,LG,두산,잠실,2442
2021,2021-04-16,금,NC,한화,창원,5061
2021,2021-04-17,토,SSG,KIA,문학,2300
2021,2021-04-17,토,롯데,삼성,사직,2364
2021,2021-04-17,토,KT,키움,수원,1658
2021,2021-04-17,토,LG,두산,잠실,2472
2021,2021-04-17,토,NC,한화,창원,3495
2021,2021-04-18,일,SSG,KIA,문학,2300
2021,2021-04-18,일,롯데,삼성,사직,2364
2021,2021-04-18,일,KT,키움,수원,1956
2021,2021-04-18,일,LG,두산,잠실,2472
2021,2021-04-18,일,NC,한화,창원,2632
2021,2021-04-20,화,삼성,SSG,대구,2104
2021,2021-04-20,화,롯데,두산,사직,1197
2021,2021-04-20,화,LG,KIA,잠실,2453
2021,2021-04-20,화,NC,KT,창원,1229
2021,2021-04-20,화,한화,키움,한밭,1003
2021,2021-04-21,수,삼성,SSG,대구,2823
2021,2021-04-21,수,롯데,두산,사직,1278
