season,date,start,home,away,stadium,home_score,away_score,note
2021,2021-04-03,14:00,키움,삼성,고척,6,1,-
2021,2021-04-03,14:00,SSG,롯데,문학,,,우천취소
2021,2021-04-03,14:00,KT,한화,수원,,,우천취소
2021,2021-04-03,14:00,두산,KIA,잠실,,,우천취소
2021,2021-04-03,14:00,NC,LG,창원,,,우천취소
2021,2021-04-04,14:00,키움,삼성,고척,7,4,-
2021,2021-04-04,14:00,SSG,롯데,문학,5,3,-
2021,2021-04-04,14:00,KT,한화,수원,3,2,-
2021,2021-04-04,14:00,두산,KIA,잠실,4,1,-
2021,2021-04-04,14:00,NC,LG,창원,1,2,-
2021,2021-04-06,18:30,키움,KIA,고척,4,5,-
2021,2021-04-06,18:30,SSG,한화,문학,2,1,-
2021,2021-04-06,18:30,KT,LG,수원,2,3,-
2021,2021-04-06,18:30,두산,삼성,잠실,6,3,-
2021,2021-04-06,18:30,NC,롯데,창원,5,10,-
2021,2021-04-07,18:30,키움,KIA,고척,7,8,-
2021,2021-04-07,18:30,SSG,한화,문학,0,17,-
2021,2021-04-07,18:30,KT,LG,수원,7,3,-
2021,2021-04-07,18:30,두산,삼성,잠실,1,0,-
2021,2021-04-07,18:30,NC,롯데,창원,10,6,-
2021,2021-04-08,18:30,키움,KIA,고척,3,5,-
2021,2021-04-08,18:30,SSG,한화,문학,6,4,-
2021,2021-04-08,18:30,KT,LG,수원,3,7,-
2021,2021-04-08,18:30,두산,삼성,잠실,1,6,-
2021,2021-04-08,18:30,NC,롯데,창원,4,8,-
2021,2021-04-09,18:30,KIA,NC,광주,6,10,-
2021,2021-04-09,18:30,삼성,KT,대구,7,5,-
2021,2021-04-09,18:30,롯데,키움,사직,2,7,-
2021,2021-04-09,18:30,LG,SSG,잠실,9,5,-
2021,2021-04-09,18:30,한화,두산,한밭,7,0,-
2021,2021-04-10,17:00,KIA,NC,광주,2,9,-
2021,2021-04-10,14:00,삼성,KT,대구,7,6,-
2021,2021-04-10,17:00,롯데,키움,사직,13,0,-
2021,2021-04-10,14:00,LG,SSG,잠실,3,4,-
2021,2021-04-10,17:00,한화,두산,한밭,1,18,-
2021,2021-04-11,14:00,KIA,NC,광주,3,7,-
2021,2021-04-11,14:00,삼성,KT,대구,4,2,-
2021,2021-04-11,14:00,롯데,키움,사직,2,3,-
