stadium,home_teams,is_secondary,is_dome,capacity_hint,asos_stn,asos_name,lat,lon
고척,키움,0,1,16000,108,서울,37.4982,126.8672
광주,KIA,0,0,20500,156,광주,35.1681,126.8891
대구,삼성,0,0,24000,143,대구,35.8410,128.6816
대전,한화,0,0,17000,133,대전,36.3170,127.4290
문학,SSG,0,0,23000,112,인천,37.4370,126.6932
사직,롯데,0,0,23200,159,부산,35.1940,129.0615
수원,KT,0,0,18700,119,수원,37.2997,127.0097
울산,롯데,1,0,12088,152,울산,35.5320,129.2656
잠실,LG;두산,0,0,23750,108,서울,37.5121,127.0719
창원,NC,0,0,18128,155,창원,35.2225,128.5822
청주,한화,1,0,9000,131,청주,36.6392,127.4700
포항,삼성,1,0,12120,138,포항,36.0080,129.3597
한밭,한화,0,0,12000,133,대전,36.3170,127.4290
